Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
1,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,14000,100000
2,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,27000,100000
3,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,29000,100000
4,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,32000,100000
5,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,34000,100000
6,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,38000,100000
7,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,41000,100000
8,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,45000,100000
9,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,49000,100000
10,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,53000,100000
11,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,58000,100000
12,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,62000,100000
13,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,67000,100000
14,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,72000,100000
15,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,78000,100000
16,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,85000,100000
17,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,93000,100000
18,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,105000,100000
19,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,124000,100000
20,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,211000,100000
1,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,16000,22000
2,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,26000,25000
3,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,29000,13000
4,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,32000,24000
5,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,35000,32000
6,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,38000,43000
7,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,41000,41000
8,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,45000,42000
9,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,49000,38000
10,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,53000,37000
11,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,58000,37000
12,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,62000,36000
13,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,67000,30000
14,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,72000,27000
15,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,78000,27000
16,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,84000,25000
